dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"N | D",384,6,       0.002480
1,float,uniform,PoisFFT,"N | D",384,7,       0.002480
1,float,uniform,PoisFFT,"N | D",384,8,       0.002470
1,float,uniform,PoisFFT,"N | D",384,9,       0.002480
1,float,uniform,PoisFFT,"N | D",384,10,       0.002480
1,float,uniform,PoisFFT,"N | D",384,11,       0.002490
1,float,uniform,PoisFFT,"N | D",384,12,       0.002470
1,float,uniform,PoisFFT,"N | D",384,13,       0.002460
1,float,uniform,PoisFFT,"N | D",384,14,       0.002480
1,float,uniform,PoisFFT,"N | D",384,15,       0.002470
1,float,uniform,PoisFFT,"N | D",384,16,       0.002460
1,float,uniform,PoisFFT,"N | D",384,17,       0.002470
1,float,uniform,PoisFFT,"N | D",384,18,       0.002460
1,float,uniform,PoisFFT,"N | D",384,19,       0.002469
1,float,uniform,PoisFFT,"N | D",384,20,       0.002480
1,float,uniform,PoisFFT,"N | D",384,21,       0.002470
1,float,uniform,PoisFFT,"N | D",384,22,       0.002470
1,float,uniform,PoisFFT,"N | D",384,23,       0.002470
1,float,uniform,PoisFFT,"N | D",384,24,       0.002470
1,float,uniform,PoisFFT,"N | D",384,25,       0.002450
1,float,uniform,PoisFFT,"N | D",384,26,       0.002470
1,float,uniform,PoisFFT,"N | D",384,27,       0.002480
1,float,uniform,PoisFFT,"N | D",384,28,       0.002470
1,float,uniform,PoisFFT,"N | D",384,29,       0.002460
1,float,uniform,PoisFFT,"N | D",384,30,       0.002480
1,float,uniform,PoisFFT,"N | D",384,31,       0.002460
1,float,uniform,PoisFFT,"N | D",384,32,       0.002450
1,float,uniform,PoisFFT,"N | D",384,33,       0.002471
1,float,uniform,PoisFFT,"N | D",384,34,       0.002480
1,float,uniform,PoisFFT,"N | D",384,35,       0.002470
1,float,uniform,PoisFFT,"N | D",384,36,       0.002500
1,float,uniform,PoisFFT,"N | D",384,37,       0.002460
1,float,uniform,PoisFFT,"N | D",384,38,       0.002470
1,float,uniform,PoisFFT,"N | D",384,39,       0.002480
1,float,uniform,PoisFFT,"N | D",384,40,       0.002490
1,float,uniform,PoisFFT,"N | D",384,41,       0.002460
1,float,uniform,PoisFFT,"N | D",384,42,       0.002450
1,float,uniform,PoisFFT,"N | D",384,43,       0.002460
1,float,uniform,PoisFFT,"N | D",384,44,       0.002450
1,float,uniform,PoisFFT,"N | D",384,45,       0.002500
1,float,uniform,PoisFFT,"N | D",384,46,       0.002470
1,float,uniform,PoisFFT,"N | D",384,47,       0.002469
1,float,uniform,PoisFFT,"N | D",384,48,       0.002460
1,float,uniform,PoisFFT,"N | D",384,49,       0.002460
1,float,uniform,PoisFFT,"N | D",384,50,       0.002450
1,float,uniform,PoisFFT,"N | D",384,51,       0.002480
1,float,uniform,PoisFFT,"N | D",384,52,       0.002470
1,float,uniform,PoisFFT,"N | D",384,53,       0.002460
1,float,uniform,PoisFFT,"N | D",384,54,       0.002460
1,float,uniform,PoisFFT,"N | D",384,55,       0.002470
1,float,uniform,PoisFFT,"N | D",384,56,       0.002460
1,float,uniform,PoisFFT,"N | D",384,57,       0.002480
1,float,uniform,PoisFFT,"N | D",384,58,       0.002480
1,float,uniform,PoisFFT,"N | D",384,59,       0.002470
1,float,uniform,PoisFFT,"N | D",384,60,       0.002460
1,float,uniform,PoisFFT,"N | D",384,61,       0.002469
1,float,uniform,PoisFFT,"N | D",384,62,       0.002471
1,float,uniform,PoisFFT,"N | D",384,63,       0.002460
1,float,uniform,PoisFFT,"N | D",384,64,       0.002480
1,float,uniform,PoisFFT,"N | D",384,65,       0.002450
1,float,uniform,PoisFFT,"N | D",384,66,       0.002450
1,float,uniform,PoisFFT,"N | D",384,67,       0.002470
1,float,uniform,PoisFFT,"N | D",384,68,       0.002470
1,float,uniform,PoisFFT,"N | D",384,69,       0.002470
1,float,uniform,PoisFFT,"N | D",384,70,       0.002460
1,float,uniform,PoisFFT,"N | D",384,71,       0.002460
1,float,uniform,PoisFFT,"N | D",384,72,       0.002460
1,float,uniform,PoisFFT,"N | D",384,73,       0.002450
1,float,uniform,PoisFFT,"N | D",384,74,       0.002460
1,float,uniform,PoisFFT,"N | D",448,0,       0.004790
1,float,uniform,PoisFFT,"N | D",448,1,       0.003409
1,float,uniform,PoisFFT,"N | D",448,2,       0.003290
1,float,uniform,PoisFFT,"N | D",448,3,       0.003270
1,float,uniform,PoisFFT,"N | D",448,4,       0.003290
1,float,uniform,PoisFFT,"N | D",448,5,       0.003260
1,float,uniform,PoisFFT,"N | D",448,6,       0.003270
1,float,uniform,PoisFFT,"N | D",448,7,       0.003250
1,float,uniform,PoisFFT,"N | D",448,8,       0.003250
1,float,uniform,PoisFFT,"N | D",448,9,       0.003250
