dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,25,      18.258933
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,26,      18.409901
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,27,      18.218673
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,28,      18.295173
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,29,      18.477981
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,30,      18.261173
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,31,      18.556499
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,32,      18.438101
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,33,      18.340312
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,34,      18.368272
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,35,      18.458331
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,36,      18.315333
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,37,      18.283252
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,38,      18.249833
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,39,      18.462111
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,40,      18.453310
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,41,      18.458381
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,42,      18.500751
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,43,      18.446172
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,44,      18.459931
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,45,      18.468631
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,46,      18.427931
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,47,      18.514490
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,48,      18.477870
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,49,      18.268722
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,50,      18.255653
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,51,      18.422671
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,52,      18.342482
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,53,      18.467071
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,54,      18.458461
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,55,      18.429691
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,56,      18.320822
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,57,      18.431801
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,58,      18.353731
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,59,      18.479510
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,60,      18.459321
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,61,      18.384171
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,62,      18.453931
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,63,      18.411121
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,64,      18.277532
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,65,      18.448580
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,66,      18.361861
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,67,      18.518700
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,68,      18.310552
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,69,      18.343162
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,70,      18.333342
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,71,      18.452671
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,72,      18.401761
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,73,      18.409651
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,74,      18.332792
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,0,      35.095411
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,1,      34.734415
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,2,      34.820865
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,3,      34.818325
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,4,      34.670265
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,5,      34.757795
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,6,      34.859964
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,7,      34.681355
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,8,      34.806094
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,9,      34.808484
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,10,      34.655356
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,11,      34.822344
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,12,      34.731525
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,13,      34.729065
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,14,      34.804644
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,15,      34.784145
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,16,      34.953093
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,17,      34.643486
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,18,      34.715675
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,19,      34.815794
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,20,      34.660346
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,21,      34.781984
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,22,      34.910914
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,23,      34.827185
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,24,      34.693545
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,25,      34.718005
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,26,      34.663326
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,27,      34.778995
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,28,      34.927613
