dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"Ns | Ns",256,58,       0.001580
1,float,uniform,PoisFFT,"Ns | Ns",256,59,       0.001580
1,float,uniform,PoisFFT,"Ns | Ns",256,60,       0.001609
1,float,uniform,PoisFFT,"Ns | Ns",256,61,       0.001590
1,float,uniform,PoisFFT,"Ns | Ns",256,62,       0.001590
1,float,uniform,PoisFFT,"Ns | Ns",256,63,       0.001600
1,float,uniform,PoisFFT,"Ns | Ns",256,64,       0.001600
1,float,uniform,PoisFFT,"Ns | Ns",256,65,       0.001580
1,float,uniform,PoisFFT,"Ns | Ns",256,66,       0.001660
1,float,uniform,PoisFFT,"Ns | Ns",256,67,       0.001600
1,float,uniform,PoisFFT,"Ns | Ns",256,68,       0.001610
1,float,uniform,PoisFFT,"Ns | Ns",256,69,       0.001600
1,float,uniform,PoisFFT,"Ns | Ns",256,70,       0.001600
1,float,uniform,PoisFFT,"Ns | Ns",256,71,       0.001590
1,float,uniform,PoisFFT,"Ns | Ns",256,72,       0.001620
1,float,uniform,PoisFFT,"Ns | Ns",256,73,       0.001590
1,float,uniform,PoisFFT,"Ns | Ns",256,74,       0.001600
1,float,uniform,PoisFFT,"Ns | Ns",320,0,       0.004220
1,float,uniform,PoisFFT,"Ns | Ns",320,1,       0.002491
1,float,uniform,PoisFFT,"Ns | Ns",320,2,       0.002329
1,float,uniform,PoisFFT,"Ns | Ns",320,3,       0.002320
1,float,uniform,PoisFFT,"Ns | Ns",320,4,       0.002380
1,float,uniform,PoisFFT,"Ns | Ns",320,5,       0.002340
1,float,uniform,PoisFFT,"Ns | Ns",320,6,       0.002310
1,float,uniform,PoisFFT,"Ns | Ns",320,7,       0.002320
1,float,uniform,PoisFFT,"Ns | Ns",320,8,       0.002370
1,float,uniform,PoisFFT,"Ns | Ns",320,9,       0.002350
1,float,uniform,PoisFFT,"Ns | Ns",320,10,       0.002290
1,float,uniform,PoisFFT,"Ns | Ns",320,11,       0.002370
1,float,uniform,PoisFFT,"Ns | Ns",320,12,       0.002350
1,float,uniform,PoisFFT,"Ns | Ns",320,13,       0.002300
1,float,uniform,PoisFFT,"Ns | Ns",320,14,       0.002370
1,float,uniform,PoisFFT,"Ns | Ns",320,15,       0.002329
1,float,uniform,PoisFFT,"Ns | Ns",320,16,       0.002289
1,float,uniform,PoisFFT,"Ns | Ns",320,17,       0.002420
1,float,uniform,PoisFFT,"Ns | Ns",320,18,       0.002309
1,float,uniform,PoisFFT,"Ns | Ns",320,19,       0.002330
1,float,uniform,PoisFFT,"Ns | Ns",320,20,       0.002330
1,float,uniform,PoisFFT,"Ns | Ns",320,21,       0.002340
1,float,uniform,PoisFFT,"Ns | Ns",320,22,       0.002310
1,float,uniform,PoisFFT,"Ns | Ns",320,23,       0.002360
1,float,uniform,PoisFFT,"Ns | Ns",320,24,       0.002360
1,float,uniform,PoisFFT,"Ns | Ns",320,25,       0.002400
1,float,uniform,PoisFFT,"Ns | Ns",320,26,       0.002320
1,float,uniform,PoisFFT,"Ns | Ns",320,27,       0.002400
1,float,uniform,PoisFFT,"Ns | Ns",320,28,       0.002340
1,float,uniform,PoisFFT,"Ns | Ns",320,29,       0.002350
1,float,uniform,PoisFFT,"Ns | Ns",320,30,       0.002360
1,float,uniform,PoisFFT,"Ns | Ns",320,31,       0.002300
1,float,uniform,PoisFFT,"Ns | Ns",320,32,       0.002340
1,float,uniform,PoisFFT,"Ns | Ns",320,33,       0.002380
1,float,uniform,PoisFFT,"Ns | Ns",320,34,       0.002410
1,float,uniform,PoisFFT,"Ns | Ns",320,35,       0.002360
1,float,uniform,PoisFFT,"Ns | Ns",320,36,       0.002280
1,float,uniform,PoisFFT,"Ns | Ns",320,37,       0.002340
1,float,uniform,PoisFFT,"Ns | Ns",320,38,       0.002340
1,float,uniform,PoisFFT,"Ns | Ns",320,39,       0.002370
1,float,uniform,PoisFFT,"Ns | Ns",320,40,       0.002370
1,float,uniform,PoisFFT,"Ns | Ns",320,41,       0.002380
1,float,uniform,PoisFFT,"Ns | Ns",320,42,       0.002380
1,float,uniform,PoisFFT,"Ns | Ns",320,43,       0.002360
1,float,uniform,PoisFFT,"Ns | Ns",320,44,       0.002370
1,float,uniform,PoisFFT,"Ns | Ns",320,45,       0.002360
1,float,uniform,PoisFFT,"Ns | Ns",320,46,       0.002380
1,float,uniform,PoisFFT,"Ns | Ns",320,47,       0.002320
1,float,uniform,PoisFFT,"Ns | Ns",320,48,       0.002391
1,float,uniform,PoisFFT,"Ns | Ns",320,49,       0.002290
1,float,uniform,PoisFFT,"Ns | Ns",320,50,       0.002380
1,float,uniform,PoisFFT,"Ns | Ns",320,51,       0.002380
1,float,uniform,PoisFFT,"Ns | Ns",320,52,       0.002310
1,float,uniform,PoisFFT,"Ns | Ns",320,53,       0.002400
1,float,uniform,PoisFFT,"Ns | Ns",320,54,       0.002340
1,float,uniform,PoisFFT,"Ns | Ns",320,55,       0.002340
1,float,uniform,PoisFFT,"Ns | Ns",320,56,       0.002380
1,float,uniform,PoisFFT,"Ns | Ns",320,57,       0.002320
1,float,uniform,PoisFFT,"Ns | Ns",320,58,       0.002310
1,float,uniform,PoisFFT,"Ns | Ns",320,59,       0.002390
1,float,uniform,PoisFFT,"Ns | Ns",320,60,       0.002340
1,float,uniform,PoisFFT,"Ns | Ns",320,61,       0.002340
1,float,uniform,PoisFFT,"Ns | Ns",320,62,       0.002340
1,float,uniform,PoisFFT,"Ns | Ns",320,63,       0.002400
1,float,uniform,PoisFFT,"Ns | Ns",320,64,       0.002340
1,float,uniform,PoisFFT,"Ns | Ns",320,65,       0.002380
1,float,uniform,PoisFFT,"Ns | Ns",320,66,       0.002269
1,float,uniform,PoisFFT,"Ns | Ns",320,67,       0.002389
1,float,uniform,PoisFFT,"Ns | Ns",320,68,       0.002340
1,float,uniform,PoisFFT,"Ns | Ns",320,69,       0.002290
1,float,uniform,PoisFFT,"Ns | Ns",320,70,       0.002380
1,float,uniform,PoisFFT,"Ns | Ns",320,71,       0.002370
1,float,uniform,PoisFFT,"Ns | Ns",320,72,       0.002360
1,float,uniform,PoisFFT,"Ns | Ns",320,73,       0.002390
1,float,uniform,PoisFFT,"Ns | Ns",320,74,       0.002310
1,float,uniform,PoisFFT,"Ns | Ns",384,0,       0.004449
1,float,uniform,PoisFFT,"Ns | Ns",384,1,       0.002780
1,float,uniform,PoisFFT,"Ns | Ns",384,2,       0.002650
1,float,uniform,PoisFFT,"Ns | Ns",384,3,       0.002630
1,float,uniform,PoisFFT,"Ns | Ns",384,4,       0.002620
1,float,uniform,PoisFFT,"Ns | Ns",384,5,       0.002630
1,float,uniform,PoisFFT,"Ns | Ns",384,6,       0.002660
1,float,uniform,PoisFFT,"Ns | Ns",384,7,       0.002620
1,float,uniform,PoisFFT,"Ns | Ns",384,8,       0.002600
1,float,uniform,PoisFFT,"Ns | Ns",384,9,       0.002620
1,float,uniform,PoisFFT,"Ns | Ns",384,10,       0.002640
1,float,uniform,PoisFFT,"Ns | Ns",384,11,       0.002620
1,float,uniform,PoisFFT,"Ns | Ns",384,12,       0.002629
1,float,uniform,PoisFFT,"Ns | Ns",384,13,       0.002620
1,float,uniform,PoisFFT,"Ns | Ns",384,14,       0.002670
1,float,uniform,PoisFFT,"Ns | Ns",384,15,       0.002620
1,float,uniform,PoisFFT,"Ns | Ns",384,16,       0.002640
1,float,uniform,PoisFFT,"Ns | Ns",384,17,       0.002640
1,float,uniform,PoisFFT,"Ns | Ns",384,18,       0.002620
1,float,uniform,PoisFFT,"Ns | Ns",384,19,       0.002610
1,float,uniform,PoisFFT,"Ns | Ns",384,20,       0.002620
1,float,uniform,PoisFFT,"Ns | Ns",384,21,       0.002630
1,float,uniform,PoisFFT,"Ns | Ns",384,22,       0.002630
1,float,uniform,PoisFFT,"Ns | Ns",384,23,       0.002600
1,float,uniform,PoisFFT,"Ns | Ns",384,24,       0.002620
1,float,uniform,PoisFFT,"Ns | Ns",384,25,       0.002620
1,float,uniform,PoisFFT,"Ns | Ns",384,26,       0.002640
1,float,uniform,PoisFFT,"Ns | Ns",384,27,       0.002609
1,float,uniform,PoisFFT,"Ns | Ns",384,28,       0.002629
1,float,uniform,PoisFFT,"Ns | Ns",384,29,       0.002610
1,float,uniform,PoisFFT,"Ns | Ns",384,30,       0.002630
