dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,39,      19.756801
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,40,      19.829591
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,41,      20.085107
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,42,      19.928569
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,43,      20.014938
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,44,      19.801721
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,45,      19.972039
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,46,      20.064578
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,47,      19.902979
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,48,      19.921799
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,49,      20.354255
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,50,      19.815980
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,51,      20.115347
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,52,      19.842610
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,53,      19.829960
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,54,      20.143347
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,55,      20.070258
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,56,      20.288805
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,57,      20.418224
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,58,      19.970889
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,59,      20.304665
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,60,      20.075048
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,61,      20.000229
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,62,      19.951559
