dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,50,      39.431807
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,51,      39.305029
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,52,      39.734683
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,53,      38.799644
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,54,      38.691265
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,55,      39.158661
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,56,      40.484245
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,57,      39.226180
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,58,      39.524996
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,59,      40.070590
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,60,      39.879602
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,61,      39.760324
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,62,      39.558216
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,63,      39.662385
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,64,      39.603495
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,65,      40.416516
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,66,      39.555426
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,67,      40.209418
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,68,      58.102662
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,69,      38.968252
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,70,      39.391478
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,71,      38.954732
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,72,      39.055851
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,73,      39.835973
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,74,      39.677305
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,0,      75.421072
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,1,      75.580010
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,2,      75.881367
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,3,      75.589300
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,4,      83.646171
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,5,      75.499551
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,6,      75.037046
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,7,      74.886418
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,8,      83.179247
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,9,      74.921757
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,10,      74.469073
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,11,      74.775739
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,12,      73.898638
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,13,      74.149515
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,14,      82.905299
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,15,      73.645231
