dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"D | D",320,37,       0.020080
1,double,uniform,PoisFFT,"D | D",320,38,       0.020140
1,double,uniform,PoisFFT,"D | D",320,39,       0.020150
1,double,uniform,PoisFFT,"D | D",320,40,       0.020209
1,double,uniform,PoisFFT,"D | D",320,41,       0.020230
1,double,uniform,PoisFFT,"D | D",320,42,       0.020120
1,double,uniform,PoisFFT,"D | D",320,43,       0.020130
1,double,uniform,PoisFFT,"D | D",320,44,       0.020109
1,double,uniform,PoisFFT,"D | D",320,45,       0.020150
1,double,uniform,PoisFFT,"D | D",320,46,       0.020130
1,double,uniform,PoisFFT,"D | D",320,47,       0.020249
1,double,uniform,PoisFFT,"D | D",320,48,       0.020099
1,double,uniform,PoisFFT,"D | D",320,49,       0.020100
1,double,uniform,PoisFFT,"D | D",320,50,       0.020140
1,double,uniform,PoisFFT,"D | D",320,51,       0.020090
1,double,uniform,PoisFFT,"D | D",320,52,       0.020120
1,double,uniform,PoisFFT,"D | D",320,53,       0.020130
1,double,uniform,PoisFFT,"D | D",320,54,       0.020150
1,double,uniform,PoisFFT,"D | D",320,55,       0.020110
1,double,uniform,PoisFFT,"D | D",320,56,       0.020180
1,double,uniform,PoisFFT,"D | D",320,57,       0.020130
1,double,uniform,PoisFFT,"D | D",320,58,       0.020129
1,double,uniform,PoisFFT,"D | D",320,59,       0.020129
1,double,uniform,PoisFFT,"D | D",320,60,       0.020110
1,double,uniform,PoisFFT,"D | D",320,61,       0.020120
1,double,uniform,PoisFFT,"D | D",320,62,       0.020150
1,double,uniform,PoisFFT,"D | D",320,63,       0.020110
1,double,uniform,PoisFFT,"D | D",320,64,       0.020150
1,double,uniform,PoisFFT,"D | D",320,65,       0.020150
1,double,uniform,PoisFFT,"D | D",320,66,       0.020099
1,double,uniform,PoisFFT,"D | D",320,67,       0.020140
1,double,uniform,PoisFFT,"D | D",320,68,       0.020130
1,double,uniform,PoisFFT,"D | D",320,69,       0.020099
1,double,uniform,PoisFFT,"D | D",320,70,       0.020210
1,double,uniform,PoisFFT,"D | D",320,71,       0.020150
1,double,uniform,PoisFFT,"D | D",320,72,       0.020089
1,double,uniform,PoisFFT,"D | D",320,73,       0.020160
1,double,uniform,PoisFFT,"D | D",320,74,       0.020130
1,double,uniform,PoisFFT,"D | D",384,0,       0.006510
1,double,uniform,PoisFFT,"D | D",384,1,       0.006030
1,double,uniform,PoisFFT,"D | D",384,2,       0.006020
1,double,uniform,PoisFFT,"D | D",384,3,       0.006009
1,double,uniform,PoisFFT,"D | D",384,4,       0.006009
1,double,uniform,PoisFFT,"D | D",384,5,       0.005980
1,double,uniform,PoisFFT,"D | D",384,6,       0.005980
1,double,uniform,PoisFFT,"D | D",384,7,       0.005970
1,double,uniform,PoisFFT,"D | D",384,8,       0.005970
1,double,uniform,PoisFFT,"D | D",384,9,       0.005940
1,double,uniform,PoisFFT,"D | D",384,10,       0.005990
1,double,uniform,PoisFFT,"D | D",384,11,       0.005940
1,double,uniform,PoisFFT,"D | D",384,12,       0.005970
1,double,uniform,PoisFFT,"D | D",384,13,       0.005950
1,double,uniform,PoisFFT,"D | D",384,14,       0.005920
1,double,uniform,PoisFFT,"D | D",384,15,       0.006000
1,double,uniform,PoisFFT,"D | D",384,16,       0.005950
1,double,uniform,PoisFFT,"D | D",384,17,       0.005940
