dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,55,       6.569218
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,56,       6.501859
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,57,       6.735937
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,58,       6.586808
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,59,       6.835796
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,60,       6.550789
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,61,       6.507519
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,62,       6.766306
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,63,       6.714527
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,64,       6.615968
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,65,       6.602118
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,66,       6.662908
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,67,       6.872415
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,68,       6.749347
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,69,       6.549889
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,70,       6.463179
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,71,       6.464879
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,72,       6.528299
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,73,       6.455650
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,74,       6.962675
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,0,      12.672492
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,1,      12.636463
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,2,      12.743762
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,3,      12.731702
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,4,      12.871160
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,5,      12.884700
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,6,      12.682302
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,7,      12.765841
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,8,      12.635353
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,9,      12.589053
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,10,      12.893430
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,11,      12.610623
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,12,      12.780601
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,13,      12.814261
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,14,      12.620603
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,15,      12.698402
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,16,      12.766641
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,17,      12.754591
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,18,      12.730572
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,19,      12.669652
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,20,      12.669052
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,21,      12.696512
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,22,      12.807421
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,23,      12.647273
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,24,      12.600323
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,25,      12.998909
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,26,      12.829761
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,27,      12.593984
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,28,      13.154817
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,29,      12.721782
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,30,      12.709531
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,31,      12.693912
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,32,      12.618642
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,33,      12.655573
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,34,      12.703792
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,35,      12.777291
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,36,      12.756212
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,37,      12.643133
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,38,      12.612803
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,39,      12.653222
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,40,      12.627832
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,41,      12.660573
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,42,      12.710832
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,43,      12.671342
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,44,      12.699782
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,45,      12.680373
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,46,      12.662723
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,47,      12.525735
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,48,      12.727972
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,49,      12.835501
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,50,      12.679792
