dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,33,      94.099404
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,34,      94.548479
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,35,      94.799716
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,36,      94.441330
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,37,      94.540018
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,38,      94.622208
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,39,      95.169482
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,40,      94.218092
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,41,      94.306721
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,42,      94.574149
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,43,      95.130873
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,44,      94.867125
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,45,      94.707247
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,46,      94.530759
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,47,      94.389671
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,48,      94.670488
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,49,      94.548849
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,50,      94.558778
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,51,      94.700357
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,52,      94.685308
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,53,      94.545499
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,54,      93.504311
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,55,      94.221712
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,56,      93.963935
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,57,      94.116004
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,58,      94.515840
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,59,      94.569228
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,60,      95.053263
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,61,      93.819167
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,62,      94.913225
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,63,      94.055854
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,64,      94.895755
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,65,      94.167763
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,66,      94.770756
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,67,      94.420060
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,68,      94.134843
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,69,      95.147302
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,70,      93.440051
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,71,      94.848055
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,72,      94.106974
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,73,      94.092003
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,74,      94.561588
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,0,     192.568459
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,1,     196.090439
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,2,     189.579722
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,3,     191.423131
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,4,     192.949944
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,5,     193.779535
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,6,     192.598649
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,7,     192.763247
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,8,     192.252391
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,9,     193.596187
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,10,     191.797607
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,11,     192.459999
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,12,     193.171372
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,13,     192.511809
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,14,     192.145013
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,15,     192.793606
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,16,     192.463540
