dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,37,       0.747711
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,38,       0.747372
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,39,       0.748682
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,40,       0.744142
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,41,       0.745672
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,42,       0.742632
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,43,       0.746291
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,44,       0.743962
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,45,       0.753772
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,46,       0.749902
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,47,       0.748632
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,48,       0.748642
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,49,       0.748952
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,50,       0.750922
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,51,       0.748112
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,52,       0.747282
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,53,       0.748042
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,54,       0.747811
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,55,       0.746872
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,56,       0.746332
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,57,       0.748992
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,58,       0.753242
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,59,       0.750052
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,60,       0.743392
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,61,       0.746582
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,62,       0.744162
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,63,       0.744063
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,64,       0.743112
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,65,       0.748042
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,66,       0.751281
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,67,       0.748292
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,68,       0.748652
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,69,       0.747901
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,70,       0.748912
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,71,       0.748532
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,72,       0.748421
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,73,       0.748092
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,74,       0.749362
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,0,       1.203527
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,1,       1.209087
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,2,       1.203947
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,3,       1.200677
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,4,       1.201587
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,5,       1.200707
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,6,       1.202867
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,7,       1.200677
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,8,       1.203157
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,9,       1.201017
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,10,       1.204027
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,11,       1.203027
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,12,       1.203707
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,13,       1.204727
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,14,       1.212057
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,15,       1.203237
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,16,       1.200647
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,17,       1.207807
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,18,       1.204287
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,19,       1.203277
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,20,       1.208287
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,21,       1.203087
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,22,       1.207167
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,23,       1.208307
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,24,       1.205707
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,25,       1.202037
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,26,       1.207797
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,27,       1.200267
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",320,28,       1.204496
