dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,15,      33.996853
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,16,      33.503398
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,17,      33.312820
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,18,      33.631106
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,19,      33.671816
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,20,      33.572267
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,21,      33.759265
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,22,      33.335750
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,23,      33.431838
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,24,      33.754995
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,25,      33.641696
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,26,      34.079161
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,27,      33.415819
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,28,      33.604057
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,29,      33.324720
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,30,      33.361430
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,31,      33.439039
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,32,      33.465688
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,33,      33.668475
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,34,      33.860294
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,35,      33.264631
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,36,      33.773275
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,37,      33.835684
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,38,      33.592367
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,39,      33.469488
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,40,      33.812925
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,41,      33.729755
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,42,      33.705235
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,43,      33.594586
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,44,      33.752185
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,45,      33.353119
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,46,      33.439468
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,47,      33.744925
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,48,      33.430839
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,49,      33.710976
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,50,      33.601286
