dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,32,      30.879411
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,33,      30.838141
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,34,      30.720813
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,35,      30.777702
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,36,      30.933490
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,37,      30.935440
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,38,      30.556394
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,39,      30.757542
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,40,      30.712062
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,41,      31.008549
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,42,      30.887701
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,43,      30.522215
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,44,      30.901740
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,45,      30.377208
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,46,      30.827002
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,47,      30.900381
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,48,      30.581014
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,49,      30.713702
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,50,      30.508764
